map	sentences	rate	ABCD	W	X	Y	Z
12-a.png	理化学研究所内部の池のある広場から、大通りを挟んで、対面にある本田R&Dの建物内部に入るように進み、本田R&Dに隣接する中央1との間にある路地まで進む	1.8	A	1	1	1	0
12-a.png	中央1を右手にしそのまままっすぐに進む。広い通りに出たら渡り、丸い池があるので、その池を右手にした左側。	2.4	A	0	1	1	0
12-a.png	大通りに出て左に曲がると右側に通路があるのでそこを通り突き当りを右に曲がって三叉路の角。	2.714285714	A	0	0	1	1
12-a.png	目の前の道路に出たら左方向エス住み道路右手から理化学研究所敷地内に入り、すぐの突き当りを右折、その先の池のある広場の入り口角。	2.714285714	A	0	0	1	1
12-a.png	まず理化学研究所に面した通りにでます。右手に理化学研究所を見ながら進んで、右手にある入り口に入ります。突き当たりを右折して進んで、水場のある広場に入ってすぐの所の左手が目的地です。	3.457142857	A	0	0	1	1
12-a.png	本田R＆Dの建物を左手に見ながら道路に出て、同建物に沿って左折し、最初の三叉路を右折して理化学研究所の敷地に入る。すぐに三叉路があるので右折し、そのまま直進し、噴水がある広場のすぐ左側が目的地。##	3.171428571	A	0	1	1	1
12-a.png	理化学研究所に向かって進み、理化学研究所の敷地内、池のあるロータリーから二股の道に続く脇にある建物の前	2.371428571	A	0	0	1	1
12-a.png	本田R＆Dの建物を左にして直進して、通りに出て左に曲がり、道沿いに行き右側ある小道を曲がり、さらに右に曲がり、直進した先にあるところ	2.8	A	0	1	1	0
12-a.png	■から理化学研究所が見える方向へ歩いて行って、通りを横断します。##そのまままっすぐ行くと、小さな噴水のようなものが見えますので、##そこが●になります。##	2.514285714	A	0	1	1	1
12-a.png	現在地から和光ICを右手に見たときに正面にある通りを左へと進み、直進した先の右手に敷地への入り口が見えたらそこに入る。そして、突き当たりを右折し、前に見えるロータリーの手前の左側。	3.057142857	A	0	1	1	1
12-a.png	中央1と本田R&Dの間から、大通りのほうを見て本田R&Dの建物側を通って、最初のT字路で本田R&Dを背にして理化学研究所の方向に進んだロータリーの入り口のところです。	2.971428571	A	0	1	1	1
12-a.png	中央1の建物を右手に見ながら進むと左右に延びる道にぶつかるので、左折する。まっすぐ進むと右手に理化学研究所の入口があるので右折して入る。少し進むと左右に道が分かれているので、右折して直進。少し開けた場所に出て、その左側に目的地がある。	3.285714286	A	0	1	1	1
12-a.png	まず敷地外に出るために最も近い大通りに出てください。大通りを挟んで向かい側の敷地内が目的地です。大通りに出たら左へ曲がって進むと、右へ曲がれる場所があります。そこを入ってすぐに突き当たるので、右に曲がってください。まっすぐ進むと円状の水辺があります。水辺の手前の左側に建物があり、その前が目的地です。	3.257142857	A	0	0	1	1
12-a.png	公道から理化学研究所に入り右折して##理化学研究所のロータリーの##入口の建物付近に丸印の場所はあります。	2.371428571	A	0	0	1	1
12-a.png	本田R&Dを左に見ながら、道路に出てそのまま本田R&D沿いに道路を進みます。右に逸れる小道が出てきたら、その小道に入ります。すぐ突き当たるので右に曲がり、真っ直ぐ進んだ先のロータリーが目的地となります。##	3.257142857	A	0	1	1	1
12-a.png	道路を挟んで向かい側に直進するだけで其の儘到着する。理化学研究所の建物の手前にあります。	1.514285714	A	0	0	1	0
12-a.png	中央1と本田R&Dの間から見える大通りを反対側に渡り、理化学研究所内に向かいます	2	A	0	0	1	0
12-a.png	本田R&Dの道路を挟んだ前にある理化学研究所入り口まで行き、池がある方角へ歩きます。	2.457142857	A	0	0	1	0
12-a.png	本田R＆Dの裏側の通りへ出て、理化学研究所へ入ると、すぐの突き当りを右へすすみ、ロータリーがみえたら、そのローラリーの入り口手前です。	2.714285714	A	0	0	1	1
12-a.png	大通りを渡り高速と逆方向へ理化学研究所に沿ってしばらく進むと右手に入口があります。入り口を入り突き当りを右手に進むと噴水が見えます。噴水を正面にみて左手が目的地です。	3.342857143	A	0	0	1	1
12-a.png	まず大通りにでて高速道路をさがしてください。高速道路沿いに和光ICを目指してください。その途中に再び小道が一本あるので左折してください。	2.342857143	A	0	0	1	0
12-a.png	ホンダR＆Dと理化学研究所の間にある道の方向へ直進し、その道を左折。しばらく前進し、右手にある理科学研究所の敷地への入り口を入り、付き合たりを右折し前進、池のある開けた場所の入り口左手になります。	3.457142857	A	0	0	1	1
12-a.png	中央1を右側、本田R＆Dを左側に見て前に進み、通りに出たら左折して丁字路っぽいところを右側に進み突き当りを右折して道なりに進んだところ	2.685714286	A	0	1	1	0
12-a.png	大きな道路の方向へ向かっていただき道路へ出たら本田R&Dの建物の方向へ進んでください。少し行くと反対側に理化学研究所の入口が見えてくるのでそこを入っていただいて突き当りを噴水のある方向へ進んでいただくと噴水手前に目的地があります。	3.171428571	A	0	0	1	1
12-a.png	表通りに出る。和光IC方面に向かう。そこから理化学研究所の入口がある方向に進む。研究所に入ったらすぐ右折して少し広くなった左側が目的地	2.428571429	A	0	0	1	1
12-a.png	左手に円形の池を見て立ち右手の道を直進、最初の左折路を曲がると広い道路を挟んで本田R＆Dに突き当たる。左折し中央１と本田R＆Dに挟まれた所に目的地がある	2.114285714	A	1	1	1	1
12-a.png	??から本田Ｒ＆Ｄと理化学研究所との間の道路に出たら左に曲がります。本田Ｒ＆Ｄの建物の対面にある入り口を右に曲がります。すぐに右に曲がり、池のある広場の手前が目的地??です。	3.114285714	A	0	1	1	1
12-a.png	大きな通路に本田R＆Dの建物に沿って行くと、建物の反対側の理化学研究所の入口に進み、T字路の突き当りを理化学研究所の建物側に進んだ突き当りの所。	2.857142857	A	0	0	1	0
12-a.png	幅が広い方の建物を左に見ながら大通りへ出たら左折してください。しばらく進むと右側に小道があるので入ったらすぐに右折。半円形の広場に出たすぐ左側が目的地です。	2.971428571	A	0	1	1	1
12-a.png	本田R&Dを左に見ながら直進し、大通りまで出て向かい側に渡る。その後右手に理化学研究所を見ながら直進し、入口を左に折れて円形の広場に出た場所が目的地です。	2.6	A	0	1	1	1
12-a.png	理化学研究所がある方を向いて進み、本田R＆Dがある区画を出る。広い道に出たらそれを渡り、左に曲がって進む。最初のT字路を右に曲がって理化学研究所の敷地に入る。その後、最初のT字路を右に曲がる。広い場所に出たらすぐ左側の小さい建物の手前が目的地です。	2.942857143	A	0	1	1	1
12-a.png	まず理化学研究所の方へ進んでいき、大通りに出たところで左折します。本田R&Dの向かいの辺りに入口があるので右折して入ります。入口入ってすぐのつきあたりを右折してまっすぐ進み、すぐ見えてくる広場のような所の左手前が目的地です。	3.285714286	A	0	0	1	1
12-a.png	本田R&Dを左手に見ながら進み、大通り出て左折、右手に理化学研究所を見ながら進み、理化学研究所の入り口を入る。突き当たりのT十字路を右折し、ロータリー左手の建物	3.371428571	A	0	1	1	1
12-a.png	建物の間の道を大きい通りに向かって進み、わたって、理化学研究所内の噴水のそば。	2.542857143	A	0	0	1	1
12-a.png	玄関を出る。そして右に向かって通りを進む。大通りにぶつかるのでそこを左に。ちょうど和光ICの入口付近に玄関があるのでそこを入っていく。。２つ建物を超え広場を過ぎた場所が目的地です。	2.2	A	0	1	1	1
12-a.png	道路に出て左方向へ行き最初に右折できる道を入る。その先のT字路を右折した先の交差点の左斜め前	2.914285714	A	0	0	1	0
12-a.png	本田R&Dの前の通りに出て本田R&Dの建物を左に見て進む。本田R&Dの建物の三分の二ほど進んだら##向かい側の小さめの道に道路を渡って進む。##T字路を右に進んでロータリーの様な場所の左側。斜め後方に向かう道の角のところ	2.742857143	A	0	0	1	1
12-a.png	本田R&D前の細い道に入る。少し進んで右に曲がる。そこから暫く進むと開けた場所に出る。そのすぐ左の建物。	2.8	A	0	0	1	1
12-a.png	本田R＆D前の道路から理化学研究所に入る。T字路を右に進み、池を正面に左側の位置。##	2.771428571	A	0	0	1	1
12-a.png	大通りを駅とは逆方向に歩いてゆきます。右にわき道が見えてくるのでそこに入り、突き当りを右に曲がります。道なりに歩くとロータリーがあり、そのすぐ左が目的地です。	2.571428571	A	0	0	1	1
13-b.png	ファミリーマートを2軒通過し、サンシャインの横の道を高速道路下に向かって直進する。高速道路の下の道をわたったらゴール。	2.685714286	A	0	0	1	0
13-b.png	ドーミーインを背にセブンイレブンを右にして進み、ヴィクトリアの手前を右折して高速の下を渡ります。ニトリの手前を左方向に進み、次の、曲がり角の右側が●です。	3.028571429	A	0	1	1	1
13-b.png	目の前にセブンイレブンが見える位置から左に進み最初の十字路を右折する。そのまま進むと再び十字路が出てくるがそこは通り越して右手に東京電子専門学校が出てきたら左折する。そのまま行くとヴィクトリアが出てくるのでそこを通りすぎて右に渡ると目的地につく	2.742857143	A	0	1	1	1
13-b.png	過度の左側に進むと少し太い道と斜めに交差するので右折してください。高速道路をくぐってすぐ左折すると最初に右に入れる路地の手前角が目的地です。	1.828571429	A	0	0	1	1
13-b.png	正和ビルを右手、ドーミーインを左手に見ながら進む。丁字路を右折し、左手にサンシャイン60を見ながら進む。前方に高架化された道路が見え、その下を抜けた先の右側の向かいに目的地がある。目的地のとなりにはニトリがあるので目印になる。	3.257142857	A	0	1	1	1
